year,co2
1950,25.014633
1951,30.210049
1952,31.331244
1953,28.67729
1954,28.934362
1955,32.35407
1956,33.744488
1957,35.089443
1958,32.474606
1959,33.341896
1960,36.629093
1961,36.580036
1962,36.08063
1963,35.410664
1964,37.673428
1965,36.971375
1966,34.851803
1967,33.82433
1968,36.37062
1969,38.96762
1970,40.475006
1971,38.581238
1972,38.988323
1973,40.59391
1974,41.047718
1975,33.544598
1976,33.32911
1977,30.574385
1978,32.90406
1979,33.510323
1980,30.443203
1981,26.025719
1982,24.447992
1983,22.887058
1984,24.616035
1985,25.204838
1986,24.746542
1987,23.782467
1988,24.367577
1989,26.120216
1990,30.98945
1991,32.181065
1992,31.166605
1993,31.136255
1994,28.71006
1995,22.460876
1996,22.283075
1997,20.467562
1998,18.091682
1999,18.90661
2000,19.9792
2001,20.862108
2002,22.382103
2003,23.15829
2004,25.822998
2005,25.984957
2006,25.213663
2007,23.562086
2008,22.86432
2009,21.3514
2010,22.082712
2011,21.424578
2012,20.490171
2013,19.037624
2014,17.665773
2015,16.42211
2016,15.58947
2017,15.542759
2018,15.748627
2019,15.757939
2020,12.797711
2021,13.18523
2022,11.618432
