year,co2,ipi
1956,1.3904179999999968,1.5574151304213765
1957,1.344955000000006,-0.80523545246919410000
1958,-2.6148370000000014,-0.36740623588486915000
1959,0.867289999999997,2.9168000734499274
1960,3.287196999999999,0.81891433909362005000
1961,-0.0490569999999976,0.04784341787122555500
1962,-0.4994060000000004,0.14707866969007050000
1963,-0.6699660000000023,-0.07450931065247929250
1964,2.262764000000004,2.5214476888037571977
1965,-0.7020529999999994,0.02305852441824095000
1966,-2.119572000000005,-1.07385460940553290000
1967,-1.0274729999999934,0.28282089373796202500
1968,2.546289999999999,2.8982032047631781
1969,2.596999999999994,2.834200335869946352
1970,1.507386000000004,-2.0816953468882547
1971,-1.8937680000000012,1.15750441453592972500
1972,0.4070850000000021,2.3084093070953736
1973,1.605587,2.7273156254999873
1974,0.4538080000000022,-1.3457244828216134
1975,-7.503120000000003,-4.2439790305777428
1976,-0.2154880000000005,0.70502523874519920000
1977,-2.7547250000000005,1.16682563832321400000
1978,2.3296750000000017,0.90082526375836362500
1979,0.6062629999999984,0.97399580852327258250
1980,-3.067119999999999,-2.60608397903783071
1981,-4.417484000000002,0.65510179575155942500
1982,-1.5777269999999994,-1.24927861451747800000
1983,-1.5609339999999996,4.5872688859467877
1984,1.7289770000000004,2.2267111510413322
1985,0.5888029999999986,1.48693130665005414
1986,-0.4582959999999971,-0.70423187676778037500
1987,-0.9640750000000012,0.77161246789031268500
1988,0.5851100000000002,2.6908711348109661
1989,1.7526389999999985,0.88699615319529565000
1990,4.869234000000002,-0.81411544908274415000
1991,1.1916149999999952,0.83806929361596135000
1992,-1.014459999999996,-0.52748524339589733000
1993,-0.030350000000002,-1.29144070209337896
1994,-2.426195,1.93099907669299834
1995,-6.249184,0.29081649138087607150
1996,-0.1778009999999987,0.00399455201486145500
1997,-1.8155129999999997,2.6801522031075158
1998,-2.375880000000002,0.74799065213932112500
1999,0.8149280000000019,2.2978810948623875
2000,1.0725899999999982,0.60471585742086467500
2001,0.8829080000000005,0.78062091494095517500
2002,1.5199950000000015,1.797101013054298329
2003,0.7761870000000002,0.60154860049505327500
2004,2.6647079999999974,1.21064165532993207500
2005,0.161959000000003,1.22378871074254898000
2006,-0.771294000000001,0.79752163642276519000
2007,-1.6515769999999996,-0.72003643148439997500
2008,-0.6977660000000014,-4.6832400479747105
2009,-1.5129199999999976,1.00337778099678502500
2010,0.7313119999999991,1.02334092395818602500
2011,-0.6581340000000004,-0.68239059094399525000
2012,-0.9344070000000002,-1.12930620455382672500
2013,-1.4525469999999991,0.91785887619548697500
2014,-1.3718509999999997,0.57788285654575847500
2015,-1.2436630000000015,0.09637404531627921500
2016,-0.8326399999999996,-0.26950236160002592500
2017,-0.0467110000000001,1.7532343778105843
2018,0.2058680000000006,-0.11805776093325992500
2019,0.0093119999999995,-2.1053813948504915
2020,-2.9602280000000007,0.04871360656976757500
2021,0.387519000000001,1.29873830967803430
2022,-1.5667980000000004,-1.96583040918176572
