DATE,PRMNTO01LUQ657S
1956-01-01,1.5574151304213765
1957-01-01,-0.80523545246919410000
1958-01-01,-0.36740623588486915000
1959-01-01,2.9168000734499274
1960-01-01,0.81891433909362005000
1961-01-01,0.04784341787122555500
1962-01-01,0.14707866969007050000
1963-01-01,-0.07450931065247929250
1964-01-01,2.5214476888037571977
1965-01-01,0.02305852441824095000
1966-01-01,-1.07385460940553290000
1967-01-01,0.28282089373796202500
1968-01-01,2.8982032047631781
1969-01-01,2.834200335869946352
1970-01-01,-2.0816953468882547
1971-01-01,1.15750441453592972500
1972-01-01,2.3084093070953736
1973-01-01,2.7273156254999873
1974-01-01,-1.3457244828216134
1975-01-01,-4.2439790305777428
1976-01-01,0.70502523874519920000
1977-01-01,1.16682563832321400000
1978-01-01,0.90082526375836362500
1979-01-01,0.97399580852327258250
1980-01-01,-2.60608397903783071
1981-01-01,0.65510179575155942500
1982-01-01,-1.24927861451747800000
1983-01-01,4.5872688859467877
1984-01-01,2.2267111510413322
1985-01-01,1.48693130665005414
1986-01-01,-0.70423187676778037500
1987-01-01,0.77161246789031268500
1988-01-01,2.6908711348109661
1989-01-01,0.88699615319529565000
1990-01-01,-0.81411544908274415000
1991-01-01,0.83806929361596135000
1992-01-01,-0.52748524339589733000
1993-01-01,-1.29144070209337896
1994-01-01,1.93099907669299834
1995-01-01,0.29081649138087607150
1996-01-01,0.00399455201486145500
1997-01-01,2.6801522031075158
1998-01-01,0.74799065213932112500
1999-01-01,2.2978810948623875
2000-01-01,0.60471585742086467500
2001-01-01,0.78062091494095517500
2002-01-01,1.797101013054298329
2003-01-01,0.60154860049505327500
2004-01-01,1.21064165532993207500
2005-01-01,1.22378871074254898000
2006-01-01,0.79752163642276519000
2007-01-01,-0.72003643148439997500
2008-01-01,-4.6832400479747105
2009-01-01,1.00337778099678502500
2010-01-01,1.02334092395818602500
2011-01-01,-0.68239059094399525000
2012-01-01,-1.12930620455382672500
2013-01-01,0.91785887619548697500
2014-01-01,0.57788285654575847500
2015-01-01,0.09637404531627921500
2016-01-01,-0.26950236160002592500
2017-01-01,1.7532343778105843
2018-01-01,-0.11805776093325992500
2019-01-01,-2.1053813948504915
2020-01-01,0.04871360656976757500
2021-01-01,1.29873830967803430
2022-01-01,-1.96583040918176572
2023-01-01,-0.46329925221211963250
2024-01-01,.
